name
Python
Java
Go
JavaScript
TypeScript
C++
C#
PHP
Ruby
Kotlin
Swift
Rust
Django
Flask
FastAPI
Spring Boot
Express.js
NestJS
React
Vue.js
Angular
Laravel
Symfony
ASP.NET Core
PostgreSQL
MySQL
MongoDB
Redis
SQLite
Cassandra
ClickHouse
Elasticsearch
Docker
Kubernetes
GitLab CI/CD
GitHub Actions
Jenkins
Ansible
Terraform
Prometheus
Grafana
Git
REST API
GraphQL
gRPC
WebSocket
OAuth 2.0
JWT
OpenAPI/Swagger
Unit testing
Pytest
JUnit
Postman
Selenium
Mockito
Integration testing
E2E testing
Linux/Unix
Bash scripting
HTML/CSS
JSON/XML
RabbitMQ
Kafka
Nginx
Apache
System Design
Microservices
SOLID
Design Patterns
Agile/Scrum
Jira
Confluence
Figma
